SysOrderId,InstrumentId,UserId,FrontId,Timestamp,LocalTime,InsertLocalTime,Buy,OrderPrice,OrderVol,FirstTradeLocalTime,LastTradeLocalTime,TradeVol,AverageTradePrice,Tick2Trade,Tick2Recv,Order2Ack,Order2FrontAck
10050255#174,123057.SZ,Oes000000000,-1,'09:30:36.090','20221201 09:30:33.892917063','20221201 09:30:33.892932736',0,225.200000,80,'20221201 09:30:33.896261223','20221201 09:30:33.896261223',80,225.200000,15673,638,3302502,-1
10050348#240,128015.SZ,Oes000000000,-1,'09:30:38.100','20221201 09:30:35.899843505','20221201 09:30:35.899858261',0,123.002000,60,'','',0,0.000000,14756,572,3330937,-1
10050349#241,128015.SZ,Oes000000000,-1,'09:30:38.110','20221201 09:30:35.912988879','20221201 09:30:35.913087860',0,123.001000,630,'','',0,0.000000,98981,51798,3298549,-1
10050350#242,128015.SZ,Oes000000000,-1,'09:30:38.110','20221201 09:30:35.913010410','20221201 09:30:35.913103158',0,123.000000,1710,'20221201 09:30:35.916493188','20221201 09:30:35.916821082',1150,123.000000,92748,81548,3319712,-1
10050385#266,123057.SZ,Oes000000000,-1,'09:30:39.080','20221201 09:30:36.875354394','20221201 09:30:36.875366058',0,225.000000,400,'20221201 09:30:36.878600009','20221201 09:30:36.878757910',400,225.000000,11664,646,3188377,-1
10050387#267,123057.SZ,Oes000000000,-1,'09:30:39.390','20221201 09:30:37.183052056','20221201 09:30:37.183095741',0,224.800000,500,'20221201 09:30:37.186642049','20221201 09:30:37.186844602',500,224.800000,43685,636,3494395,-1
10050697#464,128015.SZ,Oes000000000,-1,'09:30:50.090','20221201 09:30:47.896642710','20221201 09:30:47.896745364',1,122.811000,40,'','',0,0.000000,102654,879,3420517,-1
10050855#558,128015.SZ,Oes000000000,-1,'09:30:55.810','20221201 09:30:53.599210570','20221201 09:30:53.599270035',1,122.793000,30,'','',0,0.000000,59465,894,2834627,-1
10050856#559,128015.SZ,Oes000000000,-1,'09:30:55.810','20221201 09:30:53.599225182','20221201 09:30:53.599296243',1,122.793000,30,'','',0,0.000000,71061,55847,2843239,-1
10050859#560,128015.SZ,Oes000000000,-1,'09:30:55.810','20221201 09:30:53.605453394','20221201 09:30:53.605466178',1,122.806000,40,'20221201 09:30:53.617547328','20221201 09:30:53.617547328',40,122.806000,12784,643,2793727,-1
10050931#599,128015.SZ,Oes000000000,-1,'09:30:59.350','20221201 09:30:57.149099572','20221201 09:30:57.149119344',1,122.950000,200,'','',0,0.000000,19772,509,3380740,-1
10050932#600,128015.SZ,Oes000000000,-1,'09:30:59.350','20221201 09:30:57.149175249','20221201 09:30:57.149189082',1,122.950000,200,'','',0,0.000000,13833,707,3405520,-1
