stock,vol,broker,start,end,backup
000729.SZ,0,gjsz,20221111,20221207,
000807.SZ,0,gjsz,20221110,20221207,e
002458.SZ,0,gjsz,20221111,20221207,
002241.SZ,0,rzrq,20221110,20221207,
002371.SZ,0,rzrq,20221013,20221207,
300454.SZ,0,rzrq,20221110,20221207,
300725.SZ,0,rzrq,20221110,20221207,
603650.SH,0,zx,20221110,20221207,
688073.SH,0,zx,20221110,20221207,not
688329.SH,0,zx,20221110,20221207,not
600859.SH,0,zyzxsh,20221110,20221207,
603288.SH,0,zyzxsh,20221110,20221207,
300763.SZ,400,gjsz,20221019,20221208,e
600009.SH,16700,zx,20221111,20221208,
600559.SH,43400,zx,20221014,20221208,e
688355.SH,83100,zx,20221014,20221208,not
002262.SZ,5400,gjsz,20221124,20221209,e
002791.SZ,6300,gjsz,20221129,20221209,
300036.SZ,19300,gjsz,20221115,20221209,
600426.SH,35300,zx,20221017,99999999,20221211
603658.SH,15400,zx,20221114,20221211,
688002.SH,20000,zx,20221114,20221211,e
688017.SH,17100,zx,20221114,20221211,e
688041.SH,42500,zx,20221114,20221211,e
688231.SH,52000,zx,20221114,99999999,20221211
688295.SH,43000,zx,20221114,20221211,e
688382.SH,126300,zx,20221114,99999999,20221211
688401.SH,36700,zx,20221114,99999999,20221211
688521.SH,39700,zx,20221114,20221211,e
688687.SH,86900,zx,20221114,99999999,20221211
688776.SH,9300,zx,20221114,20221211,not
688075.SH,17800,zx,20221125,99999999,20221208
688212.SH,28600,zx,20221111,99999999,20221208
002074.SZ,30200,gjsz,20221116,20221212,
002747.SZ,10600,gjsz,20221116,20221212,e
300601.SZ,1200,gjsz,20221019,20221212,
300759.SZ,5100,gjsz,20221102,20221212,
600089.SH,45800,zx,20221115,20221212,
688035.SH,23600,zx,20221018,20221212,e
688120.SH,8200,zx,20221018,20221212,e
688235.SH,19700,zx,20221018,20221212,not
688261.SH,7800,zx,20221018,20221212,e
688271.SH,9300,zx,20221018,20221212,e
688348.SH,3700,zx,20221018,20221212,e
688375.SH,19400,zx,20221018,20221212,e
688409.SH,15000,zx,20221018,20221212,e
688621.SH,18800,zx,20221115,20221212,e
688636.SH,14500,zx,20221115,20221212,not
600188.SH,10500,zyzxsh,20221018,20221212,
002080.SZ,47500,gjsz,20221117,20221213,
300124.SZ,2000,gjsz,20221201,20221213,e
300418.SZ,68100,gjsz,20221117,20221213,
300896.SZ,1000,gjsz,20221130,20221213,e
301153.SZ,3100,gjsz,20221130,20221213,e
000400.SZ,45500,rzrq,20221130,20221213,e
002544.SZ,49000,rzrq,20221019,20221213,
300394.SZ,14100,rzrq,20221019,20221213,
688047.SH,24100,zx,20221019,20221213,
688063.SH,6200,zx,20221116,20221213,e
688116.SH,19600,zx,20221116,20221213,not
688383.SH,14600,zx,20221116,20221213,not
688390.SH,5700,zx,20221116,20221213,e
300124.SZ,3300,gjsz,20221201,20221214,e
300896.SZ,600,gjsz,20221130,20221214,e
002138.SZ,39000,rzrq,20221201,20221214,e
002916.SZ,13100,rzrq,20221201,20221214,e
300458.SZ,17800,rzrq,20221201,20221214,e
600690.SH,42200,zx,20221117,20221214,e
688187.SH,34500,zx,20221117,20221214,e
688297.SH,41300,zx,20221020,20221214,e
688499.SH,9700,zx,20221020,20221214,e
688560.SH,41400,zx,20221020,20221214,e
688575.SH,98500,zx,20221020,20221214,e
600004.SH,35200,zyzxsh,20221117,20221214,
002050.SZ,6700,gjsz,20221202,20221215,
000002.SZ,63000,rzrq,20221118,20221215,
688031.SH,23700,zx,20221118,20221215,
688061.SH,20700,zx,20221021,20221215,
688244.SH,26700,zx,20221118,20221215,
688305.SH,21100,zx,20221021,20221215,
688353.SH,26100,zx,20221021,20221215,
688439.SH,15300,zx,20221021,20221215,
002409.SZ,2000,gjsz,20221103,20221216,
000001.SZ,76300,rzrq,20221205,20221216,
000063.SZ,39600,rzrq,20221205,20221216,
000960.SZ,74300,rzrq,20221205,20221216,
002352.SZ,18600,rzrq,20221121,20221216,
002493.SZ,81500,rzrq,20221121,20221216,
002625.SZ,52900,rzrq,20221121,20221216,
300033.SZ,10000,rzrq,20221205,20221216,
300357.SZ,19200,rzrq,20221205,20221216,
300413.SZ,37700,rzrq,20221205,20221216,
688008.SH,38200,zx,20221010,20221218,
688111.SH,9900,zx,20221010,20221218,
688114.SH,16600,zx,20221024,20221218,
688122.SH,18700,zx,20221010,20221218,
688259.SH,22000,zx,20221121,20221218,
688267.SH,47700,zx,20221121,20221218,
688599.SH,30200,zx,20221121,20221218,
688665.SH,18500,zx,20221121,20221218,
688686.SH,11700,zx,20221010,20221218,
000933.SZ,59500,gjsz,20221202,20221219,
300496.SZ,600,gjsz,20221012,20221219,
300873.SZ,10200,gjsz,20221207,20221219,
002407.SZ,25600,rzrq,20221206,20221219,
300073.SZ,16600,rzrq,20221122,20221219,
300253.SZ,98800,rzrq,20221122,20221219,
300726.SZ,22500,rzrq,20221011,20221219,
300861.SZ,17200,rzrq,20221206,20221219,
688032.SH,1800,zx,20221011,20221219,
688223.SH,119900,zx,20221011,20221219,
688301.SH,4200,zx,20221206,20221219,
688303.SH,37200,zx,20221122,20221219,
688381.SH,42100,zx,20221122,20221219,
002020.SZ,21100,gjsz,20221207,20221220,
002268.SZ,18600,gjsz,20221110,20221220,
